Seed;;;;;;;;;;;;;;;;;
31231;;;;;;;;;;;;;;;;;
Iterations;100;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
World size\Process method;CPU;;;CPUALT;;;CPU Threads;;;CPU ppl;;;CPU Thread pool;;;GPU;
200;2.60775;13;;75.6052;19;;9.95918;8;;2.36689;34;;0.94296;3;;0.293477;0
700;24.2311;10;;435.0325;;;20.3671;16;;17.6444;99;;8.14046;41;;2.55967;2
1200;73.3812;10;;;;;34.5469;26;;46.8612;100;;20.5904;50;;4.70747;9
1700;141.279;8;;;;;45.7449;46;;77.5156;99;;34.1923;63;;5.13991;1
2200;206.855;7;;;;;64.4027;57;;131.059;100;;52.1983;71;;6.57891;3
2700;328.306;7;;;;;90.2105;65;;211.74;100;;87.1831;80;;9.13139;6
3200;460.544;7;;;;;130.516;74;;278.07;100;;111.087;82;;11.3999;5
3700;;;;;;;155.467;76;;364.291;99;;147.178;85;;13.7732;4
4200;;;;;;;207.251;80;;473.859;99;;196.413;86;;18.1948;6
4700;;;;;;;253.065;82;;;;;253.488;87;;20.7839;6
